id,draw_id,ts_utc,period,market,pick,p_win,source,vote_ratio,pick_zh,day_id_cst,created_at
861475_2025-09-29_map_even,861475_2025-09-29,2025-09-21 16:16:57,861475,map,even,0.7906,map,0.7906,偶数,2025-09-29,2025-09-29 01:50:10
861475_2025-09-29_size_big,861475_2025-09-29,2025-09-21 16:16:57,861475,size,big,0.5906,size,0.5906,大,2025-09-29,2025-09-29 01:50:10
861477_2025-09-29_map_odd,861477_2025-09-29,2025-09-21 16:26:19,861477,map,odd,0.40980000000000005,map,0.40980000000000005,奇数,2025-09-29,2025-09-29 01:50:10
861477_2025-09-29_size_small,861477_2025-09-29,2025-09-21 16:26:19,861477,size,small,0.20980000000000001,size,0.20980000000000001,小,2025-09-29,2025-09-29 01:50:10
861478_2025-09-29_map_even,861478_2025-09-29,2025-09-21 16:30:50,861478,map,even,0.7876,map,0.7876,偶数,2025-09-29,2025-09-29 01:50:10
